id,lang,url,title,content
12,en,https://en.wikipedia.org/wiki?curid=12,Anarchism,"Anarchism is a political philosophy and movement that rejects all involuntary, coercive forms of hierarchy. It radically"
25,en,https://en.wikipedia.org/wiki?curid=25,Autism,"Autism is a developmental disorder characterized by difficulties with social interaction and communication, and by restr"
39,en,https://en.wikipedia.org/wiki?curid=39,Albedo,"Albedo () (, meaning 'whiteness') is the measure of the diffuse reflection of solar radiation out of the total solar rad"
290,en,https://en.wikipedia.org/wiki?curid=290,A,A or a is the first letter and the first vowel letter of the modern English alphabet and the ISO basic Latin alphabet. I
303,en,https://en.wikipedia.org/wiki?curid=303,Alabama,"Alabama () is a state in the southeastern region of the United States. It is bordered by Tennessee to the north, Georgia"
305,en,https://en.wikipedia.org/wiki?curid=305,Achilles,"In Greek mythology, Achilles ( ) or Achilleus (, ) was a hero of the Trojan War, the greatest of all the Greek warriors,"
307,en,https://en.wikipedia.org/wiki?curid=307,Abraham Lincoln,"Abraham Lincoln (; February 12, 1809 – April 15, 1865) was an American statesman and lawyer who served as the 16th presi"
308,en,https://en.wikipedia.org/wiki?curid=308,Aristotle,"Aristotle (; Aristotélēs, ; 384–322 BC) was a Greek philosopher and polymath during the Classical period in Ancient Gree"
309,en,https://en.wikipedia.org/wiki?curid=309,An American in Paris,An American in Paris is a jazz-influenced orchestral piece by American composer George Gershwin first performed in 1928.
316,en,https://en.wikipedia.org/wiki?curid=316,Academy Award for Best Production Design,The Academy Award for Best Production Design recognizes achievement for art direction in film. The category's original n
324,en,https://en.wikipedia.org/wiki?curid=324,Academy Awards,"The Academy Awards, popularly known as the Oscars, are awards for artistic and technical merit in the film industry. Giv"
330,en,https://en.wikipedia.org/wiki?curid=330,Actrius,Actresses (Catalan: Actrius) is a 1997 Catalan language Spanish drama film produced and directed by Ventura Pons and bas
332,en,https://en.wikipedia.org/wiki?curid=332,Animalia (book),"Animalia is an illustrated children's book by Graeme Base. It was originally published in 1986, followed by a tenth anni"
334,en,https://en.wikipedia.org/wiki?curid=334,International Atomic Time,"International Atomic Time (TAI, from the French name ) is a high-precision atomic coordinate time standard based on the "
336,en,https://en.wikipedia.org/wiki?curid=336,Altruism,"Altruism is the principle and moral practice of concern for happiness of other human beings or animals, resulting in a q"
339,en,https://en.wikipedia.org/wiki?curid=339,Ayn Rand,"Ayn Rand (; born Alisa Zinovyevna Rosenbaum; – March 6, 1982) was a Russian-American writer and philosopher. She is know"
340,en,https://en.wikipedia.org/wiki?curid=340,Alain Connes,"Alain Connes (; born 1 April 1947) is a French mathematician, currently Professor at the Collège de France, IHÉS, Ohio S"
344,en,https://en.wikipedia.org/wiki?curid=344,Allan Dwan,Allan Dwan (born Joseph Aloysius Dwan; 3 April 1885 – 28 December 1981) was a pioneering Canadian-born American motion p
358,en,https://en.wikipedia.org/wiki?curid=358,Algeria,"Algeria ( ), officially the People's Democratic Republic of Algeria, is a country in the Maghreb region of North Africa."
359,en,https://en.wikipedia.org/wiki?curid=359,List of Atlas Shrugged characters,This is a list of characters in Ayn Rand's 1957 novel Atlas Shrugged. The following are major characters from the novel.
569,en,https://en.wikipedia.org/wiki?curid=569,Anthropology,"Anthropology is the scientific study of humans, human behavior and societies in the past and present. Social anthropolog"
572,en,https://en.wikipedia.org/wiki?curid=572,Agricultural science,"Agricultural science is a broad multidisciplinary field of biology that encompasses the parts of exact, natural, economi"
573,en,https://en.wikipedia.org/wiki?curid=573,Alchemy,"Alchemy (from Arabic: al-kīmiyā) is an ancient branch of natural philosophy, a philosophical and protoscientific traditi"
580,en,https://en.wikipedia.org/wiki?curid=580,Astronomer,An astronomer is a scientist in the field of astronomy who focuses their studies on a specific question or field outside
586,en,https://en.wikipedia.org/wiki?curid=586,ASCII,"ASCII ( ), abbreviated from American Standard Code for Information Interchange, is a character encoding standard for ele"
593,en,https://en.wikipedia.org/wiki?curid=593,Animation,"Animation is a method in which figures are manipulated to appear as moving images. In traditional animation, images are "
594,en,https://en.wikipedia.org/wiki?curid=594,Apollo,Apollo is one of the Olympian deities in classical Greek and Roman religion and Greek and Roman mythology. The national 
595,en,https://en.wikipedia.org/wiki?curid=595,Andre Agassi,"Andre Kirk Agassi ( ; born April 29, 1970) is an American retired professional tennis player and former world No. 1. In "
